attr_func,context_tokens,time_mean,time_std,mem_mean,mem_std,statuses
IG,0,5.2335,0.9720,1.7318,0.0000,ok|ok|ok
attention_I_G,0,5.3892,0.2765,1.7318,0.0000,ok|ok|ok
perturbation_all,0,0.5828,0.0589,2.2442,0.2726,ok|ok|ok
perturbation_REAGENT,0,0.8709,0.0821,2.4432,0.0044,ok|ok|ok
perturbation_CLP,0,0.6999,0.0495,2.4464,0.0000,ok|ok|ok
ifr_all_positions,0,0.2171,0.0123,1.4603,0.2761,ok|ok|ok
ifr_multi_hop,0,0.4013,0.0231,1.2650,0.0000,ok|ok|ok
IG,100,11.4560,0.3295,3.5505,0.0000,ok|ok|ok
attention_I_G,100,12.6742,0.2644,3.5505,0.0000,ok|ok|ok
perturbation_all,100,4.3540,0.5972,2.2732,0.2450,ok|ok|ok
perturbation_REAGENT,100,5.6193,0.2506,2.4464,0.0000,ok|ok|ok
perturbation_CLP,100,3.5882,0.3631,2.4464,0.0000,ok|ok|ok
ifr_all_positions,100,0.3352,0.0305,1.5030,0.2459,ok|ok|ok
ifr_multi_hop,100,0.3769,0.0267,1.3292,0.0000,ok|ok|ok
IG,500,34.1383,0.4287,10.9387,0.0000,ok|ok|ok
attention_I_G,500,35.6849,0.1796,10.9382,0.0000,ok|ok|ok
perturbation_all,500,19.1862,0.8928,2.3542,0.1304,ok|ok|ok
perturbation_REAGENT,500,29.2347,0.8598,2.4464,0.0000,ok|ok|ok
perturbation_CLP,500,16.7111,0.1430,2.5020,0.0000,ok|ok|ok
ifr_all_positions,500,0.6562,0.0178,2.0498,0.0000,ok|ok|ok
ifr_multi_hop,500,0.5194,0.0007,2.0498,0.0000,ok|ok|ok
IG,1000,69.6472,0.1711,20.1504,0.0000,ok|ok|ok
attention_I_G,1000,71.7993,0.1487,20.1501,0.0000,ok|ok|ok
perturbation_all,1000,64.3122,1.6612,2.4731,0.0000,ok|ok|ok
perturbation_REAGENT,1000,98.5637,1.7754,2.4731,0.0000,ok|ok|ok
perturbation_CLP,1000,63.9773,0.4619,3.1079,0.0000,ok|ok|ok
ifr_all_positions,1000,1.3525,0.0015,3.9823,0.0000,ok|ok|ok
ifr_multi_hop,1000,1.1483,0.0010,3.9823,0.0000,ok|ok|ok
perturbation_all,5000,3507.0477,10.9223,4.9044,0.0000,ok|ok|ok
perturbation_REAGENT,5000,4027.5337,25.9880,4.9044,0.0000,ok|ok|ok
perturbation_CLP,5000,3513.5481,0.0869,7.9716,0.0000,ok|ok|ok
ifr_all_positions,5000,14.1748,0.0210,60.9363,0.0000,ok|ok|ok
ifr_multi_hop,5000,16.4116,0.0075,60.9363,0.0000,ok|ok|ok
