attr_func,target_input_tokens,target_output_tokens,target_total_tokens,time_mean,time_std,peak_mem_mean,peak_mem_std,statuses
IG,10,10,20,8.2897,0.0000,39.5082,0.0000,ok
perturbation_all,10,10,20,1.1323,0.0000,33.8732,0.0000,ok
attention_I_G,10,10,20,8.0698,0.0000,39.4999,0.0000,ok
perturbation_REAGENT,10,10,20,1.5427,0.0000,33.8942,0.0000,ok
ifr_all_positions,10,10,20,0.6062,0.0000,34.6995,0.0000,ok
perturbation_CLP,10,10,20,1.0555,0.0000,34.7897,0.0000,ok
ifr_multi_hop,10,10,20,0.2607,0.0000,34.1605,0.0000,ok
ifr_multi_hop_both,10,10,20,0.2807,0.0000,33.4999,0.0000,ok
attnlrp,10,10,20,2.4192,0.0000,35.0958,0.0000,ok
IG,100,10,110,14.8042,0.0000,60.3791,0.0000,ok
perturbation_all,100,10,110,6.2547,0.0000,34.5904,0.0000,ok
attention_I_G,100,10,110,16.1021,0.0000,60.2533,0.0000,ok
perturbation_REAGENT,100,10,110,9.8422,0.0000,35.0707,0.0000,ok
ifr_all_positions,100,10,110,0.5861,0.0000,37.3775,0.0000,ok
perturbation_CLP,100,10,110,6.5346,0.0000,37.3775,0.0000,ok
ifr_multi_hop,100,10,110,0.5370,0.0000,35.7334,0.0000,ok
ifr_multi_hop_both,100,10,110,0.4097,0.0000,35.7103,0.0000,ok
attnlrp,100,10,110,2.5335,0.0000,37.0231,0.0000,ok
IG,500,10,510,47.0109,0.0000,183.9999,0.0000,ok
perturbation_all,500,10,510,36.9772,0.0000,45.1034,0.0000,ok
attention_I_G,500,10,510,48.8749,0.0000,188.1166,0.0000,ok
perturbation_REAGENT,500,10,510,47.4965,0.0000,45.5501,0.0000,ok
ifr_all_positions,500,10,510,1.4687,0.0000,45.5501,0.0000,ok
perturbation_CLP,500,10,510,25.7947,0.0000,46.8336,0.0000,ok
ifr_multi_hop,500,10,510,0.5552,0.0000,46.8336,0.0000,ok
ifr_multi_hop_both,500,10,510,0.5562,0.0000,44.9378,0.0000,ok
attnlrp,500,10,510,2.3257,0.0000,46.1898,0.0000,ok
IG,1000,10,1010,106.5550,0.0000,410.1253,0.0000,ok
perturbation_all,1000,10,1010,113.4542,0.0000,72.0057,0.0000,ok
attention_I_G,1000,10,1010,112.2121,0.0000,430.7236,0.0000,ok
perturbation_REAGENT,1000,10,1010,189.7082,0.0000,78.1483,0.0000,ok
ifr_all_positions,1000,10,1010,2.7487,0.0000,77.9365,0.0000,ok
perturbation_CLP,1000,10,1010,115.1433,0.0000,77.9365,0.0000,ok
ifr_multi_hop,1000,10,1010,1.2293,0.0000,77.9365,0.0000,ok
ifr_multi_hop_both,1000,10,1010,1.2729,0.0000,75.2227,0.0000,ok
attnlrp,1000,10,1010,3.8243,0.0000,79.3499,0.0000,ok
IG,2000,10,2010,,,177.7210,0.0000,oom
perturbation_all,2000,10,2010,533.1257,0.0000,178.9982,0.0000,ok
attention_I_G,2000,10,2010,,,228.5665,0.0000,oom
perturbation_REAGENT,2000,10,2010,700.1463,0.0000,221.3502,0.0000,ok
ifr_all_positions,2000,10,2010,5.9679,0.0000,97.1904,0.0000,ok
perturbation_CLP,2000,10,2010,536.1932,0.0000,97.1904,0.0000,ok
ifr_multi_hop,2000,10,2010,3.3491,0.0000,97.1904,0.0000,ok
ifr_multi_hop_both,2000,10,2010,3.3863,0.0000,84.9032,0.0000,ok
attnlrp,2000,10,2010,6.8835,0.0000,96.7269,0.0000,ok
IG,5000,10,5010,,,201.1420,0.0000,oom
perturbation_all,5000,10,5010,5880.4082,0.0000,440.9786,0.0000,ok
attention_I_G,5000,10,5010,,,368.6919,0.0000,oom
